8306 東証1部 (株)三菱ＵＦＪフィナンシャル・グループ（銀行業）,,,,,
"2018-02-20","787.7","789.9","775","784.6","53865000","784.6"
"2018-02-21","784.6","785","768.8","769.1","60470100","769.1"
"2018-02-22","762","766.6","756.5","764.6","56499100","764.6"
"2018-02-23","759","766.1","757.4","765.4","47580100","765.4"
"2018-02-26","773.3","776.6","766.6","769.6","45788800","769.6"
"2018-02-27","774.9","780.6","772","779.2","69317500","779.2"
"2018-02-28","773.4","775.3","762.3","762.3","60220800","762.3"
"2018-03-01","753.9","754.3","742.5","746.4","74672700","746.4"
"2018-03-02","730","737","727.8","736.3","72159500","736.3"
"2018-03-05","727","732.8","723","727.1","52308200","727.1"
"2018-03-06","741","744.5","728.3","730.2","57994100","730.2"
"2018-03-07","723","726.5","715.2","715.7","78487400","715.7"
"2018-03-08","725.1","728.5","716.8","719.9","48683600","719.9"
"2018-03-09","726","730.7","714.5","717.1","88037200","717.1"
"2018-03-12","728","733.4","726","732.2","55868600","732.2"
"2018-03-13","727.1","737.8","725.7","737.7","52691900","737.7"
"2018-03-14","728","732.8","727","731.3","51424600","731.3"
"2018-03-15","725.6","727.8","720.5","723.9","47988500","723.9"
"2018-03-16","724.5","725.1","716.4","717","57976800","717"
"2018-03-19","712.8","713.6","703.6","706.3","68201000","706.3"
"2018-03-20","703","713","702.2","710.1","53663800","710.1"
"2018-03-22","700","712.2","698.9","711.1","49723600","711.1"
"2018-03-23","691","694.5","683.4","685.6","91878900","685.6"
"2018-03-26","675.6","688.1","674.6","687.9","63748500","687.9"
"2018-03-27","699.9","710.3","697.1","710.3","74245800","710.3"
"2018-03-28","692","702.9","684.7","702.4","62294500","702.4"
"2018-03-29","706.2","707.9","690.6","696.3","56648100","696.3"
"2018-03-30","700","705.4","694.4","697","45401600","697"
"2018-04-02","698.8","704.2","691.3","691.4","42347200","691.4"
"2018-04-03","686.9","696.2","683.2","694.4","41452700","694.4"
"2018-04-04","691","691.9","680.5","686.6","58054900","686.6"
"2018-04-05","691.6","706.2","688.1","699.7","77603800","699.7"
"2018-04-06","696","700.6","691.8","692.8","58243600","692.8"
"2018-04-09","692.1","703.6","691.1","702","40170300","702"
"2018-04-10","696","708.3","693.5","704.4","46298800","704.4"
"2018-04-11","709","713.3","704.7","707.2","38393000","707.2"
"2018-04-12","707","708.1","697.3","698.1","46851900","698.1"
"2018-04-13","706","720.7","705.1","715.4","71456100","715.4"
"2018-04-16","714.3","718.5","707.2","712.5","43219300","712.5"
"2018-04-17","709","711","703.1","705.2","40463700","705.2"
"2018-04-18","700.1","706.2","698.1","705.5","56254200","705.5"
"2018-04-19","708.7","730","707.8","714.4","79902500","714.4"
"2018-04-20","719","725","714.2","716.3","62119600","716.3"
"2018-04-23","725","734.6","724.2","730.4","65230800","730.4"
"2018-04-24","745","750.9","738.6","748.5","82250500","748.5"
"2018-04-25","742.7","750.5","740","750.3","66625500","750.3"
"2018-04-26","755.2","755.7","741.2","745.7","61688700","745.7"
"2018-04-27","740","745.2","730.8","733.2","65845500","733.2"
"2018-05-01","728","728.1","710.5","711.6","89831200","711.6"
"2018-05-07","712.6","713","703.7","709","41711600","709"
"2018-05-08","710.8","720.6","709","715","48832900","715"
"2018-05-09","714","718.9","708.3","716.8","48623800","716.8"
"2018-05-10","723.9","725.4","716.8","719","39559300","719"
"2018-05-11","720","723.6","715.7","723","45608600","723"
"2018-05-14","720.5","727","719.3","724.7","36020700","724.7"
"2018-05-16","716.7","721.2","698","719.7","121082000","719.7"
"2018-05-17","727","745","723.6","728.5","101288900","728.5"
"2018-05-18","728.5","730.9","721.2","723.5","55128500","723.5"
"2018-05-21","721.3","726.4","720","720.3","44345400","720.3"
"2018-05-22","719","719","711","718.6","51028700","718.6"
"2018-05-23","712.5","718.5","710","713","54137100","713"
"2018-05-24","701.8","702.9","697","699.3","71873600","699.3"
"2018-05-25","694.5","697.4","690.1","692.4","59213200","692.4"
"2018-05-28","690","693.8","686.7","693","39963400","693"
"2018-05-29","688","688.6","682.5","684.3","49339000","684.3"
"2018-05-30","664","666.2","658.6","661","105771300","661"
"2018-05-31","663","664.2","655.7","655.8","99519000","655.8"
"2018-06-01","656.6","674.3","654.4","666.2","88944000","666.2"
"2018-06-04","675","685.3","670.5","682.5","75033200","682.5"
"2018-06-05","685","685.3","675.4","680.1","43955200","680.1"
"2018-06-06","675.1","679.7","671.1","672.9","57744500","672.9"
"2018-06-07","684.5","689.9","680.4","682.3","62401100","682.3"
"2018-06-08","676.4","682.9","675.7","676.5","62647100","676.5"
"2018-06-11","674.2","682.6","672.1","676.7","43171000","676.7"
