ダウンロードした時刻：2024/11/27 12:10:13

,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
2019/5/14,25.0,9.1,8.5,0,0,1,0,1,5.6,0,1.4,薄曇後一時雨、雷を伴う,雨
2019/5/15,24.1,12.8,3.0,0,0,1,0,1,8.0,0,2.0,晴時々曇,晴
2019/5/16,26.1,11.8,0,1,0,1,0,1,10.1,0,2.2,晴時々薄曇,晴
2019/5/17,26.9,11.8,0,1,0,1,0,1,11.4,0,2.5,晴一時薄曇,晴後一時薄曇
2019/5/18,25.6,12.5,0,1,0,1,0,1,10.6,0,2.5,薄曇,薄曇
2019/5/19,26.9,14.8,0,1,0,1,0,1,10.4,0,2.4,晴一時曇,晴
2019/5/20,26.2,13.5,0.0,0,0,1,0,1,12.1,0,5.2,薄曇,曇後雨
2019/5/21,20.5,11.3,31.5,0,0,1,0,1,0.0,0,2.0,雨後一時曇,晴時々曇、霧を伴う
2019/5/22,24.1,9.5,0,1,0,1,0,1,12.0,0,1.5,薄曇時々晴,快晴
2019/5/23,26.6,9.3,0,1,0,1,0,1,13.2,0,1.3,快晴,晴
2019/5/24,27.8,11.0,0,1,0,1,0,1,11.7,0,2.0,晴後一時薄曇,快晴
2019/5/25,31.7,11.8,0,1,0,1,0,1,13.4,0,1.5,快晴,晴
2019/5/26,32.4,13.8,0,1,0,1,0,1,12.7,0,1.3,薄曇,晴一時薄曇
2019/5/27,34.1,17.1,0,1,0,1,0,1,11.8,0,1.7,晴時々薄曇,薄曇一時晴
2019/5/28,25.9,17.9,0.0,0,0,1,0,1,0.1,0,1.9,曇時々雨,雨時々曇、雷を伴う
2019/5/29,23.8,11.9,24.5,0,0,1,0,1,7.5,0,2.3,晴一時雨,快晴
2019/5/30,26.2,9.9,0,1,0,1,0,1,13.2,0,2.1,晴後一時薄曇,薄曇一時晴
2019/5/31,25.2,13.5,2.0,0,0,1,0,1,2.9,0,1.5,曇時々雨,曇時々雨一時晴
2019/6/1,25.1,12.3,0.0,0,0,1,0,1,9.6,0,1.9,晴,薄曇時々晴
2019/6/2,29.2,11.9,0,1,0,1,0,1,11.5,0,1.6,薄曇一時晴,晴一時薄曇
2019/6/3,28.9,15.0,0.0,0,0,1,0,1,8.6,0,2.1,晴時々曇,晴、雷を伴う
2019/6/4,31.2,16.0,0,1,0,1,0,1,11.8,0,1.7,薄曇時々晴,薄曇
2019/6/5,31.3,17.2,18.5,0,0,1,0,1,7.8,0,1.7,薄曇時々雨、雷を伴う,雨時々曇、雷を伴う
2019/6/6,26.0,16.2,1.0,0,0,1,0,1,7.8,0,1.9,曇時々晴,晴時々曇
2019/6/7,23.1,15.3,4.0,0,0,1,0,1,0.8,0,1.4,雨時々曇,雨一時曇
2019/6/8,21.3,16.5,17.0,0,0,1,0,1,0.7,0,1.4,雨時々曇,曇一時雨
2019/6/9,22.8,14.2,0.0,0,0,1,0,1,4.3,0,3.2,薄曇,曇
2019/6/10,20.0,12.5,0.0,0,0,1,0,1,1.3,0,3.3,曇,曇一時雨
2019/6/11,19.7,14.2,0.5,0,0,1,0,1,0.3,0,2.1,曇一時雨,曇
2019/6/12,22.9,14.2,0.0,0,0,1,0,1,6.0,0,1.3,曇後晴,晴一時曇
2019/6/13,26.1,12.4,0,1,0,1,0,1,13.3,0,1.7,晴,快晴
2019/6/14,29.5,14.1,0,1,0,1,0,1,10.5,0,2.0,薄曇一時晴,曇一時雨
2019/6/15,21.1,15.6,4.5,0,0,1,0,1,0.0,0,2.1,雨,雨時々曇
2019/6/16,22.7,15.4,2.5,0,0,1,0,1,0.0,0,3.9,雨一時曇,曇時々雨一時晴
2019/6/17,22.2,15.1,0.0,0,0,1,0,1,6.3,0,3.0,晴時々曇,晴時々曇
2019/6/18,27.3,12.7,0,1,0,1,0,1,9.6,0,1.6,曇一時晴,曇一時晴
2019/6/19,19.0,16.5,13.0,0,0,1,0,1,0.5,0,1.1,雨一時曇,曇一時霧雨
2019/6/20,27.2,16.2,0.5,0,0,1,0,1,7.9,0,1.3,晴時々曇一時雨,晴
2019/6/21,29.3,16.3,0,1,0,1,0,1,10.1,0,1.6,薄曇一時晴,曇一時雨
2019/6/22,27.3,18.1,7.0,0,0,1,0,1,2.6,0,2.1,曇一時雨,曇時々雨一時晴
2019/6/23,26.6,17.7,1.5,0,0,1,0,1,2.7,0,1.7,曇一時雨,曇時々雨
2019/6/24,19.6,17.5,10.0,0,0,1,0,1,0.0,0,0.9,雨,曇時々雨
2019/6/25,27.2,17.2,2.0,0,0,1,0,1,9.3,0,1.7,晴時々曇,晴
2019/6/26,32.4,16.9,0,1,0,1,0,1,12.5,0,1.7,晴,晴時々薄曇
2019/6/27,26.5,18.2,19.0,0,0,1,0,1,2.1,0,1.1,曇時々雨,雨後一時曇
2019/6/28,26.5,19.5,18.5,0,0,1,0,1,0.3,0,1.3,雨時々曇,曇一時雨
2019/6/29,23.8,18.0,9.5,0,0,1,0,1,0.4,0,1.4,曇時々雨,雨時々曇
2019/6/30,21.6,17.8,12.5,0,0,1,0,1,0.0,0,1.1,雨,曇時々雨
2019/7/1,29.5,18.0,0.0,0,0,1,0,1,2.9,0,1.4,曇一時晴,曇後一時雨
2019/7/2,29.6,18.9,0.0,0,0,1,0,1,7.7,0,2.5,薄曇一時晴,晴時々薄曇
2019/7/3,29.5,16.6,0.0,0,0,1,0,1,7.1,0,2.0,薄曇,曇後雨
2019/7/4,27.3,18.8,12.0,0,0,1,0,1,1.6,0,1.6,雨後曇,曇時々晴
2019/7/5,27.1,18.4,0,1,0,1,0,1,6.1,0,1.6,薄曇,曇
2019/7/6,24.7,18.8,0.0,0,0,1,0,1,4.0,0,3.2,曇,雨一時曇
2019/7/7,20.6,17.1,0.0,0,0,1,0,1,0.0,0,2.3,雨,曇
2019/7/8,24.8,16.0,0,1,0,1,0,1,6.1,0,2.1,曇一時晴,曇
2019/7/9,22.5,15.7,0.0,0,0,1,0,1,1.2,0,1.7,曇,曇
2019/7/10,25.3,16.6,0,1,0,1,0,1,7.9,0,2.9,晴一時曇,曇一時晴
2019/7/11,24.3,15.5,0.0,0,0,1,0,1,5.0,0,2.7,曇,雨時々曇
2019/7/12,22.6,17.2,10.5,0,0,1,0,1,0.0,0,1.0,雨時々曇,曇
2019/7/13,27.5,19.2,0.0,0,0,1,0,1,6.5,0,1.6,曇一時晴,曇後一時雨
2019/7/14,24.2,19.7,1.0,0,0,1,0,1,0.0,0,1.3,曇時々雨,曇一時雨
2019/7/15,27.7,19.6,0,1,0,1,0,1,2.7,0,2.3,曇,晴時々曇
2019/7/16,26.9,19.0,0,1,0,1,0,1,4.8,0,2.4,曇一時晴,曇
2019/7/17,30.7,20.3,0.0,0,0,1,0,1,5.6,0,1.6,曇時々晴,晴一時曇
2019/7/18,30.5,20.2,3.5,0,0,1,0,1,5.2,0,1.3,曇後一時雨,雨後一時曇
2019/7/19,28.2,21.6,8.0,0,0,1,0,1,1.3,0,1.6,曇時々雨,曇
2019/7/20,27.6,21.4,2.5,0,0,1,0,1,0.7,0,1.1,曇時々雨,曇一時雨
2019/7/21,27.5,21.3,0.5,0,0,1,0,1,0.1,0,1.9,曇,曇
2019/7/22,26.7,20.3,0.5,0,0,1,0,1,0.4,0,1.4,曇,曇時々雨
2019/7/23,30.8,20.6,5.0,0,0,1,0,1,3.1,0,1.8,曇,曇
2019/7/24,32.2,21.5,80.5,0,0,1,0,1,6.8,0,1.6,晴時々曇一時大雨,曇時々晴一時大雨
2019/7/25,32.8,21.6,0.0,0,0,1,0,1,7.4,0,1.6,曇後晴,晴後一時薄曇
2019/7/26,34.9,22.8,0,1,0,1,0,1,8.3,0,1.5,薄曇,晴時々薄曇
2019/7/27,35.0,24.2,16.5,0,0,1,0,1,3.9,0,1.4,曇時々雨、雷を伴う,曇時々雨、雷を伴う
2019/7/28,33.4,24.2,10.0,0,0,1,0,1,4.6,0,1.7,曇時々晴,晴一時曇
2019/7/29,33.6,23.8,10.0,0,0,1,0,1,6.5,0,1.8,曇時々晴一時雨、雷を伴う,晴一時曇
2019/7/30,34.9,23.7,0,1,0,1,0,1,5.8,0,2.0,曇,晴時々薄曇
2019/7/31,34.5,23.6,0,1,0,1,0,1,8.9,0,1.9,薄曇,薄曇後一時晴
2019/8/1,35.6,23.9,0,1,0,1,0,1,11.0,0,1.8,晴後一時曇,晴
2019/8/2,35.6,23.5,0,1,0,1,0,1,10.8,0,1.6,晴,晴
2019/8/3,34.9,23.6,0,1,0,1,0,1,11.2,0,1.7,晴,晴
2019/8/4,34.9,23.9,0,1,0,1,0,1,10.3,0,1.7,薄曇一時晴,曇時々晴
2019/8/5,36.3,25.0,0,1,0,1,0,1,10.7,0,1.8,晴,快晴
2019/8/6,36.1,25.2,0,1,0,1,0,1,12.5,0,1.7,晴、雷を伴う,晴後一時薄曇
2019/8/7,36.8,25.2,0,1,0,1,0,1,11.0,0,1.6,薄曇後一時晴,晴一時曇
2019/8/8,36.6,24.4,58.5,0,0,1,0,1,6.4,0,1.7,曇時々大雨、雷を伴う,晴後一時曇
2019/8/9,33.0,24.0,0.0,0,0,1,0,1,3.1,0,1.5,曇一時雨,曇後晴
2019/8/10,30.2,23.6,0,1,0,1,0,1,5.7,0,1.6,晴時々曇,曇一時晴
2019/8/11,31.7,22.9,0,1,0,1,0,1,7.4,0,2.8,曇,曇一時晴
2019/8/12,34.4,22.9,0,1,0,1,0,1,8.4,0,1.6,薄曇,薄曇時々晴
2019/8/13,35.9,24.7,0,1,0,1,0,1,9.7,0,2.6,晴時々薄曇,晴時々曇
2019/8/14,32.5,23.4,0,1,0,1,0,1,6.3,0,2.6,晴時々曇,晴
2019/8/15,36.2,24.1,0.0,0,0,1,0,1,10.5,0,2.8,晴一時曇,曇一時晴
2019/8/16,31.2,26.5,4.5,0,0,1,0,1,0.0,0,3.5,雨一時曇,曇
2019/8/17,33.4,24.6,0.0,0,0,1,0,1,6.3,0,3.5,晴時々曇,晴後一時曇
2019/8/18,35.4,23.1,0,1,0,1,0,1,10.2,0,1.7,晴,晴後一時曇
2019/8/19,32.6,22.9,0.0,0,0,1,0,1,5.8,0,2.8,晴時々曇,雨時々曇
2019/8/20,25.3,22.1,10.5,0,0,1,0,1,0.0,0,1.2,雨時々曇,曇時々晴一時雨
2019/8/21,29.9,21.5,0.0,0,0,1,0,1,5.3,0,2.4,曇時々晴,曇
2019/8/22,29.5,22.9,0.0,0,0,1,0,1,1.3,0,1.5,曇後一時雨,大雨時々曇
2019/8/23,28.5,20.8,42.5,0,0,1,0,1,1.1,0,2.4,曇時々雨,曇後一時雨
2019/8/24,29.7,20.9,0.0,0,0,1,0,1,5.9,0,2.5,曇一時晴,曇後一時雨
2019/8/25,28.1,19.7,3.5,0,0,1,0,1,4.4,0,1.7,曇時々晴一時雨,曇時々晴
2019/8/26,28.5,19.2,0,1,0,1,0,1,6.5,0,1.7,晴時々曇,晴一時曇
2019/8/27,27.8,17.3,0.5,0,0,1,0,1,5.5,0,1.8,薄曇,雨時々曇
2019/8/28,25.9,20.0,20.5,0,0,1,0,1,0.0,0,1.8,雨時々曇,曇時々雨
2019/8/29,29.2,21.9,2.0,0,0,1,0,1,0.6,0,2.0,曇後一時雨,曇
2019/8/30,24.8,21.2,6.5,0,0,1,0,1,0.2,0,1.2,雨時々曇,曇
2019/8/31,31.2,20.1,0,1,0,1,0,1,7.8,0,2.1,晴時々曇,薄曇
2019/9/1,30.7,19.2,0,1,0,1,0,1,4.6,0,1.8,曇,曇後雨
2019/9/2,23.3,19.7,12.0,0,0,1,0,1,0.1,0,1.3,雨一時曇,雨時々曇
2019/9/3,22.7,19.4,1.5,0,0,1,0,1,0.0,0,1.8,雨時々曇,曇後雨
2019/9/4,28.4,17.7,4.0,0,0,1,0,1,5.8,0,1.8,曇一時晴,曇一時雨
2019/9/5,28.8,19.3,0.0,0,0,1,0,1,6.3,0,1.1,曇一時雨,晴時々薄曇
2019/9/6,33.4,20.0,0,1,0,1,0,1,8.4,0,1.5,晴時々曇,晴時々薄曇
2019/9/7,33.8,22.2,0,1,0,1,0,1,10.4,0,1.6,薄曇,晴
2019/9/8,35.4,21.8,0,1,0,1,0,1,11.4,0,1.5,晴,晴後一時雨
2019/9/9,29.5,23.8,26.5,0,0,1,0,1,1.0,0,1.4,雨後一時曇,曇時々晴
2019/9/10,32.2,23.2,0.0,0,0,1,0,1,4.7,0,1.5,曇時々晴,曇一時晴
2019/9/11,30.1,21.3,17.5,0,0,1,0,1,1.8,0,1.5,曇時々雨,曇時々晴
2019/9/12,25.6,15.6,0,1,0,1,0,1,6.0,0,2.1,晴時々曇,薄曇
2019/9/13,24.9,13.4,0,1,0,1,0,1,4.6,0,2.0,晴時々薄曇,快晴
2019/9/14,28.4,14.0,0,1,0,1,0,1,10.4,0,1.8,晴,晴
