ダウンロードした時刻：2024/11/27 12:12:25

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
2019/5/24,30.8,15.9,0,1,0,1,0,1,13.4,0,3.2,快晴,快晴
2019/5/25,33.9,17.8,0,1,0,1,0,1,13.4,0,2.3,快晴,晴後一時薄曇
2019/5/26,33.3,19.0,0,1,0,1,0,1,11.7,0,2.0,薄曇,晴後時々薄曇
2019/5/27,32.7,20.5,0,1,0,1,0,1,9.5,0,3.0,薄曇,曇後一時雨
2019/5/28,22.7,17.5,39.0,0,0,1,0,1,0.0,0,3.2,雨,雨後時々曇
2019/5/29,24.1,16.6,3.5,0,0,1,0,1,5.6,0,5.3,曇,薄曇後晴
2019/5/30,27.5,12.5,0,1,0,1,0,1,13.2,0,2.8,晴後薄曇,曇
2019/5/31,25.0,18.8,0.0,0,0,1,0,1,0.4,0,2.3,曇後一時雨,曇一時晴
2019/6/1,28.3,17.7,0,1,0,1,0,1,11.7,0,2.6,薄曇,薄曇
2019/6/2,24.6,18.9,0.0,0,0,1,0,1,0.0,0,2.5,曇後一時雨,曇時々雨
2019/6/3,28.2,18.5,0.0,0,0,1,0,1,9.3,0,2.8,薄曇一時晴,晴時々薄曇
2019/6/4,28.6,19.0,0,1,0,1,0,1,7.9,0,2.6,薄曇,曇
2019/6/5,29.2,21.2,0.0,0,0,1,0,1,4.7,0,1.8,曇後晴,晴後一時薄曇
2019/6/6,32.3,20.9,0,1,0,1,0,1,10.7,0,3.3,晴後時々曇,曇一時晴
2019/6/7,24.1,17.7,51.5,0,0,1,0,1,0.0,0,2.2,大雨,曇一時雨、雷を伴う
2019/6/8,28.6,19.2,0.0,0,0,1,0,1,5.2,0,3.9,曇時々晴,薄曇後一時雨
2019/6/9,20.4,16.4,6.0,0,0,1,0,1,0.0,0,2.3,雨後曇,曇一時雨
2019/6/10,20.5,17.9,16.5,0,0,1,0,1,0.2,0,1.8,雨一時曇,晴時々曇
2019/6/11,26.4,17.3,3.5,0,0,1,0,1,9.0,0,2.8,晴後時々曇,曇時々雨、雷を伴う
2019/6/12,26.7,17.3,0.0,0,0,1,0,1,5.2,0,2.1,晴時々曇後一時雨、雷を伴う,晴一時曇
2019/6/13,28.1,17.6,0,1,0,1,0,1,12.0,0,2.6,晴,晴時々曇
2019/6/14,27.9,17.7,1.0,0,0,1,0,1,6.8,0,3.8,曇,雨一時曇
2019/6/15,23.9,17.1,21.0,0,0,1,0,1,0.1,0,3.1,曇時々雨,雨時々曇
2019/6/16,24.4,17.9,1.0,0,0,1,0,1,5.4,0,6.0,晴時々曇,晴後薄曇
2019/6/17,27.4,16.9,0,1,0,1,0,1,12.7,0,4.6,晴一時薄曇,晴後時々薄曇
2019/6/18,27.8,17.6,0,1,0,1,0,1,8.1,0,2.4,薄曇一時晴,晴時々薄曇
2019/6/19,30.0,18.6,0,1,0,1,0,1,11.2,0,2.2,晴,晴
2019/6/20,32.1,20.6,0,1,0,1,0,1,12.4,0,2.8,晴,晴後薄曇
2019/6/21,30.1,22.1,0,1,0,1,0,1,4.7,0,3.4,曇,曇
2019/6/22,30.3,22.0,0.0,0,0,1,0,1,4.5,0,3.0,曇時々晴,曇
2019/6/23,28.9,20.3,1.5,0,0,1,0,1,4.6,0,2.9,薄曇時々晴,曇時々雨
2019/6/24,30.1,19.7,2.0,0,0,1,0,1,7.8,0,2.9,晴時々曇,晴
2019/6/25,31.0,19.2,0,1,0,1,0,1,13.9,0,3.3,晴,晴後一時薄曇
2019/6/26,30.3,21.6,0.0,0,0,1,0,1,7.4,0,2.9,曇一時晴,曇
2019/6/27,25.5,23.0,32.0,0,0,1,0,1,0.0,0,3.8,雨一時曇,雨後一時曇
2019/6/28,28.8,22.7,3.5,0,0,1,0,1,2.8,0,1.9,曇時々雨,晴後曇一時雨
2019/6/29,29.8,24.1,2.0,0,0,1,0,1,0.2,0,2.5,曇,雨
2019/6/30,26.3,23.1,30.5,0,0,1,0,1,0.0,0,3.1,雨時々曇,曇時々雨
2019/7/1,27.8,22.3,10.5,0,0,1,0,1,1.1,0,1.8,雨後曇,曇時々雨
2019/7/2,28.9,22.0,1.0,0,0,1,0,1,0.5,0,1.9,曇一時雨,曇
2019/7/3,27.8,23.0,6.5,0,0,1,0,1,0.6,0,2.9,曇後一時雨,大雨
2019/7/4,29.6,22.7,24.5,0,0,1,0,1,2.1,0,2.9,曇,晴後時々薄曇
2019/7/5,27.0,21.0,0.5,0,0,1,0,1,0.0,0,2.6,曇,曇後雨
2019/7/6,28.7,20.3,4.5,0,0,1,0,1,3.0,0,2.5,曇一時雨,曇一時雨
2019/7/7,31.2,22.2,0.5,0,0,1,0,1,5.8,0,2.5,曇一時雨,曇
2019/7/8,29.3,22.8,0.0,0,0,1,0,1,4.1,0,3.3,曇,曇
2019/7/9,26.5,22.2,0.0,0,0,1,0,1,0.2,0,3.2,曇,曇
2019/7/10,27.7,21.6,0.0,0,0,1,0,1,1.8,0,2.8,曇一時雨,曇後雨
2019/7/11,22.5,19.8,24.5,0,0,1,0,1,0.0,0,2.1,雨,雨
2019/7/12,30.3,19.8,6.5,0,0,1,0,1,5.2,0,2.4,曇後晴,曇一時雨
2019/7/13,27.6,20.7,15.0,0,0,1,0,1,0.2,0,2.0,雨時々曇,雨
2019/7/14,27.1,20.4,13.0,0,0,1,0,1,0.1,0,1.8,曇時々雨,雨一時曇
2019/7/15,27.7,22.2,13.5,0,0,1,0,1,0.2,0,2.4,曇時々雨,雨時々曇
2019/7/16,26.9,22.4,6.5,0,0,1,0,1,0.1,0,2.5,曇一時雨,曇時々雨、雷を伴う
2019/7/17,30.3,22.1,24.0,0,0,1,0,1,6.4,0,2.7,晴時々曇,曇後一時雨
2019/7/18,28.6,23.1,27.5,0,0,1,0,1,0.0,0,2.8,曇時々雨、雷を伴う,大雨、雷を伴う
2019/7/19,28.1,22.3,14.0,0,0,1,0,1,0.3,0,1.6,雨一時曇,雨時々曇
2019/7/20,28.4,23.8,1.0,0,0,1,0,1,0.0,0,1.4,曇一時雨,曇
2019/7/21,28.7,25.0,0.0,0,0,1,0,1,0.0,0,2.7,曇,曇
2019/7/22,26.7,23.7,36.0,0,0,1,0,1,0.0,0,2.6,雨,雨後晴一時曇
2019/7/23,33.2,23.0,0.0,0,0,1,0,1,7.8,0,2.5,晴時々曇,晴
2019/7/24,34.8,24.6,0,1,0,1,0,1,11.8,0,2.7,晴,晴後時々薄曇
2019/7/25,33.8,25.4,0.0,0,0,1,0,1,7.7,0,3.1,薄曇後晴,晴後時々曇
2019/7/26,33.7,23.9,12.0,0,0,1,0,1,9.9,0,4.0,晴時々曇,雨時々曇
2019/7/27,26.5,23.9,42.0,0,0,1,0,1,0.0,0,4.5,大雨,曇一時雨
2019/7/28,34.4,24.2,0,1,0,1,0,1,8.5,0,2.3,曇後晴,晴一時曇
2019/7/29,35.3,26.0,0,1,0,1,0,1,6.9,0,2.4,晴一時薄曇,曇後時々晴
2019/7/30,35.8,27.1,0.0,0,0,1,0,1,6.1,0,2.3,晴時々曇,晴時々曇
2019/7/31,36.8,27.2,0,1,0,1,0,1,11.7,0,2.5,晴,晴
2019/8/1,36.8,27.6,0,1,0,1,0,1,11.3,0,2.5,晴、雷を伴う,晴一時曇、雷を伴う
2019/8/2,36.4,27.6,0,1,0,1,0,1,10.1,0,3.1,晴,晴
2019/8/3,34.8,26.7,0,1,0,1,0,1,10.3,0,2.7,晴後一時曇,晴後時々曇
2019/8/4,34.7,26.8,0.0,0,0,1,0,1,7.6,0,2.7,晴一時曇,曇時々晴
2019/8/5,37.0,27.3,0.0,0,0,1,0,1,12.4,0,3.6,晴後一時曇,曇時々晴
2019/8/6,34.8,27.2,0.0,0,0,1,0,1,8.5,0,3.6,曇,晴時々曇
2019/8/7,35.9,26.7,0,1,0,1,0,1,10.5,0,2.9,晴,晴
2019/8/8,36.3,26.4,0,1,0,1,0,1,12.1,0,2.8,晴,晴
2019/8/9,36.6,26.7,0,1,0,1,0,1,9.9,0,3.0,晴後時々薄曇,薄曇後晴
2019/8/10,37.3,26.3,0,1,0,1,0,1,12.0,0,2.9,晴後一時薄曇,曇時々晴
2019/8/11,35.6,27.1,0,1,0,1,0,1,10.4,0,3.1,晴,晴
2019/8/12,36.1,26.3,0,1,0,1,0,1,10.8,0,2.9,薄曇時々晴,晴一時薄曇
2019/8/13,38.0,28.0,0.0,0,0,1,0,1,10.4,0,3.5,晴,晴
2019/8/14,34.8,28.1,0.5,0,0,1,0,1,3.6,0,4.2,曇時々雨,曇後一時雨
2019/8/15,32.9,26.5,31.5,0,0,1,0,1,1.9,0,8.7,曇時々雨,大雨
2019/8/16,34.6,26.1,56.5,0,0,1,0,1,1.9,0,5.8,曇一時雨,晴時々曇
2019/8/17,35.6,26.5,0.0,0,0,1,0,1,7.4,0,2.3,曇後晴,晴
2019/8/18,36.1,26.3,0,1,0,1,0,1,9.6,0,2.8,晴後一時曇、雷を伴う,晴
2019/8/19,34.7,26.0,1.0,0,0,1,0,1,5.4,0,2.8,晴後曇一時雨,曇一時雨
2019/8/20,31.6,26.1,0.0,0,0,1,0,1,2.0,0,1.6,曇一時雨、雷を伴う,曇
2019/8/21,34.3,26.2,0.0,0,0,1,0,1,4.5,0,2.3,晴後一時曇、雷を伴う,曇一時雨、雷を伴う
2019/8/22,35.1,26.4,0.5,0,0,1,0,1,6.0,0,2.5,曇時々晴後一時雨,曇後雨
2019/8/23,27.8,21.8,26.5,0,0,1,0,1,0.0,0,2.1,雨時々曇,雨時々曇
2019/8/24,31.8,22.6,1.5,0,0,1,0,1,6.9,0,2.2,晴後薄曇,曇一時雨
2019/8/25,32.0,23.9,0,1,0,1,0,1,10.5,0,3.4,晴,晴一時曇
2019/8/26,32.7,21.8,0,1,0,1,0,1,12.2,0,2.8,晴,晴後一時曇
2019/8/27,28.7,22.2,27.5,0,0,1,0,1,0.6,0,2.6,曇後雨,雨後一時曇
2019/8/28,27.2,23.1,15.5,0,0,1,0,1,0.0,0,3.5,雨,雨後曇
2019/8/29,33.6,24.0,5.0,0,0,1,0,1,7.7,0,2.5,曇,曇時々雨
2019/8/30,27.6,24.2,36.5,0,0,1,0,1,0.3,0,2.1,雨時々曇、雷を伴う,雨後曇
2019/8/31,30.5,22.9,1.5,0,0,1,0,1,3.4,0,1.5,曇後時々雨,曇
2019/9/1,31.9,23.3,0.0,0,0,1,0,1,3.5,0,1.9,曇時々晴,晴時々曇
2019/9/2,33.5,23.3,0,1,0,1,0,1,7.8,0,2.0,晴時々曇,曇一時晴
2019/9/3,33.5,25.3,0,1,0,1,0,1,6.7,0,2.3,晴時々薄曇,晴後曇
2019/9/4,31.5,24.6,13.5,0,0,1,0,1,1.9,0,2.3,曇時々雨、雷を伴う,雨一時曇、雷を伴う
2019/9/5,29.7,24.1,14.0,0,0,1,0,1,1.1,0,2.3,曇時々雨,曇時々晴後一時雨、雷を伴う
2019/9/6,32.9,24.0,1.0,0,0,1,0,1,10.1,0,2.8,晴時々薄曇,晴
2019/9/7,34.3,24.0,0,1,0,1,0,1,10.2,0,3.4,晴時々薄曇,晴
2019/9/8,35.2,25.1,0,1,0,1,0,1,9.5,0,2.6,晴一時曇,曇一時晴
2019/9/9,36.0,28.4,0,1,0,1,0,1,10.6,0,3.4,薄曇,晴
2019/9/10,36.6,27.1,0,1,0,1,0,1,8.9,0,2.0,晴,晴
2019/9/11,35.4,26.9,0.0,0,0,1,0,1,4.6,0,2.8,曇時々晴後一時雨、雷を伴う,曇後晴
2019/9/12,32.8,24.5,0,1,0,1,0,1,7.3,0,4.1,晴後曇,曇
2019/9/13,26.3,22.7,0.0,0,0,1,0,1,0.0,0,2.3,曇,曇時々晴
2019/9/14,30.1,21.7,0,1,0,1,0,1,4.0,0,2.3,曇時々晴,曇後晴
2019/9/15,33.7,22.9,0,1,0,1,0,1,11.7,0,2.2,快晴,晴後一時曇
2019/9/16,34.9,25.3,0,1,0,1,0,1,11.6,0,4.8,快晴,晴時々曇
2019/9/17,33.0,24.8,0.0,0,0,1,0,1,4.7,0,3.0,晴時々曇,曇後一時雨
2019/9/18,27.0,22.4,2.5,0,0,1,0,1,1.6,0,2.9,曇一時雨,晴後時々曇
2019/9/19,29.7,20.0,0,1,0,1,0,1,11.1,0,3.7,晴一時薄曇,晴
2019/9/20,30.5,17.7,0.5,0,0,1,0,1,8.0,0,2.8,晴後曇一時雨,雨
2019/9/21,23.6,19.8,2.0,0,0,1,0,1,0.0,0,2.5,曇,曇
2019/9/22,28.2,21.2,2.0,0,0,1,0,1,0.9,0,2.2,曇後一時雨,曇時々雨一時晴
2019/9/23,32.9,22.5,2.0,0,0,1,0,1,2.9,0,6.2,曇一時雨,晴一時曇
