ダウンロードした時刻：2024/11/27 12:12:43

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
2019/5/21,25.9,17.8,37.0,0,0,1,0,1,7.0,0,2.6,曇一時雨後晴,薄曇時々晴
2019/5/22,26.3,14.6,0,1,0,1,0,1,13.2,0,2.0,晴時々薄曇,快晴
2019/5/23,28.7,15.6,0,1,0,1,0,1,13.3,0,1.9,快晴,快晴
2019/5/24,30.3,18.4,0,1,0,1,0,1,13.1,0,1.9,快晴,快晴
2019/5/25,32.4,19.0,0,1,0,1,0,1,12.5,0,2.0,晴後一時薄曇,薄曇
2019/5/26,30.5,21.3,0,1,0,1,0,1,10.9,0,1.8,薄曇後時々晴,薄曇
2019/5/27,31.6,21.8,0.0,0,0,1,0,1,7.2,0,2.6,曇一時晴,曇後時々雨
2019/5/28,24.3,17.5,29.0,0,0,1,0,1,0.0,0,2.6,雨一時曇,曇時々雨後一時晴
2019/5/29,24.5,17.2,0,1,0,1,0,1,8.6,0,2.4,薄曇,晴一時薄曇
2019/5/30,28.8,14.3,0,1,0,1,0,1,13.1,0,2.1,晴後薄曇,薄曇
2019/5/31,24.3,19.4,0.5,0,0,1,0,1,0.0,0,1.6,曇,曇一時雨
2019/6/1,26.8,18.8,0,1,0,1,0,1,9.3,0,1.9,薄曇後一時晴,曇
2019/6/2,24.5,19.6,0.0,0,0,1,0,1,0.0,0,1.6,曇後時々雨,曇
2019/6/3,30.3,19.1,0.0,0,0,1,0,1,11.1,0,2.2,薄曇一時晴,薄曇一時晴
2019/6/4,30.1,21.1,0,1,0,1,0,1,6.4,0,2.3,曇,曇
2019/6/5,29.7,22.0,0.0,0,0,1,0,1,7.3,0,2.1,曇後晴,曇時々晴
2019/6/6,30.9,22.0,0,1,0,1,0,1,10.4,0,1.9,晴後薄曇,曇
2019/6/7,25.1,18.2,36.0,0,0,1,0,1,0.0,0,2.4,大雨時々曇,曇一時雨
2019/6/8,24.5,19.6,0.0,0,0,1,0,1,1.2,0,3.4,曇,曇
2019/6/9,27.8,17.5,0,1,0,1,0,1,7.8,0,2.8,晴後曇,曇後一時雨
2019/6/10,26.2,18.7,2.5,0,0,1,0,1,1.9,0,2.2,曇時々雨,曇時々晴
2019/6/11,28.2,19.1,0.0,0,0,1,0,1,6.0,0,2.4,曇後晴,曇時々晴
2019/6/12,28.0,19.0,0,1,0,1,0,1,7.6,0,2.8,晴,快晴
2019/6/13,30.5,18.4,0.0,0,0,1,0,1,13.2,0,2.4,晴,晴時々曇
2019/6/14,29.0,19.7,2.0,0,0,1,0,1,4.3,0,3.3,曇後一時雨,雨一時曇
2019/6/15,27.3,18.3,16.0,0,0,1,0,1,3.7,0,4.7,曇時々晴一時雨、雷を伴う,雨後曇
2019/6/16,24.4,19.0,0.0,0,0,1,0,1,1.0,0,3.8,曇,晴一時薄曇
2019/6/17,26.1,17.6,0,1,0,1,0,1,10.7,0,1.9,薄曇後晴,晴後薄曇
2019/6/18,26.9,18.7,0,1,0,1,0,1,5.3,0,2.0,薄曇,薄曇一時晴
2019/6/19,29.1,20.3,0,1,0,1,0,1,9.0,0,1.8,薄曇,薄曇後晴
2019/6/20,31.2,21.6,0,1,0,1,0,1,10.9,0,1.9,晴,薄曇一時晴
2019/6/21,30.9,21.6,0.5,0,0,1,0,1,7.2,0,2.2,曇後一時雨,曇後晴
2019/6/22,31.3,21.2,1.5,0,0,1,0,1,8.6,0,2.8,晴後曇一時雨,薄曇一時雨
2019/6/23,26.6,20.5,0.5,0,0,1,0,1,1.5,0,3.1,曇一時晴,曇一時雨後時々晴
2019/6/24,28.5,20.1,0,1,0,1,0,1,9.6,0,3.0,晴,快晴
2019/6/25,31.5,19.7,0,1,0,1,0,1,13.9,0,2.4,晴,薄曇一時晴
2019/6/26,30.3,22.0,0.0,0,0,1,0,1,5.4,0,1.8,曇,曇
2019/6/27,26.1,23.9,26.5,0,0,1,0,1,0.0,0,1.7,雨一時曇,曇時々雨
2019/6/28,30.7,23.2,0.5,0,0,1,0,1,5.3,0,2.4,曇,曇時々晴後一時雨
2019/6/29,31.8,24.5,1.0,0,0,1,0,1,3.3,0,2.1,曇,雨時々曇
2019/6/30,28.4,25.0,26.5,0,0,1,0,1,0.6,0,2.9,曇時々雨,曇後雨
2019/7/1,27.9,22.8,11.0,0,0,1,0,1,1.8,0,2.3,曇一時雨,曇後雨
2019/7/2,27.1,22.9,4.0,0,0,1,0,1,0.0,0,1.6,曇一時雨,曇
2019/7/3,27.5,22.9,4.5,0,0,1,0,1,0.1,0,1.2,曇後時々雨,雨後一時曇
2019/7/4,28.5,23.1,9.5,0,0,1,0,1,4.0,0,2.2,曇,曇時々晴
2019/7/5,29.3,22.5,0,1,0,1,0,1,1.2,0,4.6,曇,曇後一時雨
2019/7/6,28.5,21.9,0.5,0,0,1,0,1,3.1,0,4.0,曇後時々晴,曇
2019/7/7,32.0,23.0,0.0,0,0,1,0,1,7.8,0,2.1,晴時々曇,晴一時曇
2019/7/8,30.7,22.0,0.0,0,0,1,0,1,7.2,0,2.6,曇一時晴,曇時々雨
2019/7/9,28.2,22.6,3.0,0,0,1,0,1,0.6,0,2.4,曇後一時雨,曇
2019/7/10,29.7,23.2,0.0,0,0,1,0,1,3.8,0,2.6,曇,曇時々雨
2019/7/11,25.3,20.7,24.5,0,0,1,0,1,0.0,0,3.1,雨時々曇,曇時々雨
2019/7/12,30.2,20.8,0.5,0,0,1,0,1,8.5,0,2.8,晴一時曇,晴後曇
2019/7/13,27.3,21.1,10.5,0,0,1,0,1,0.2,0,2.1,雨時々曇,雨後時々曇
2019/7/14,26.2,21.1,14.5,0,0,1,0,1,0.0,0,2.0,曇時々雨,雨時々曇
2019/7/15,29.7,21.9,0.5,0,0,1,0,1,3.3,0,2.5,曇一時晴,曇時々晴
2019/7/16,32.8,22.5,0,1,0,1,0,1,6.8,0,2.4,曇一時晴,曇時々晴、雷を伴う
2019/7/17,31.7,23.7,0.0,0,0,1,0,1,7.5,0,2.0,晴時々曇,曇
2019/7/18,30.8,22.9,24.0,0,0,1,0,1,0.0,0,1.6,曇後時々雨,大雨
2019/7/19,27.1,22.8,31.5,0,0,1,0,1,0.0,0,1.4,雨後一時曇,雨後曇
2019/7/20,29.6,23.9,0.0,0,0,1,0,1,0.0,0,1.9,曇,曇
2019/7/21,32.1,25.2,0.0,0,0,1,0,1,2.4,0,1.9,曇,曇時々雨
2019/7/22,30.9,24.7,34.0,0,0,1,0,1,0.6,0,2.0,曇時々雨,曇時々大雨、雷を伴う
2019/7/23,31.9,24.0,18.5,0,0,1,0,1,4.5,0,2.3,曇時々晴一時雨,曇一時雨
2019/7/24,33.6,25.5,0,1,0,1,0,1,6.2,0,2.1,曇後晴,晴後曇
2019/7/25,34.4,26.8,0,1,0,1,0,1,8.6,0,1.9,晴時々曇、雷を伴う,晴、雷を伴う
2019/7/26,34.4,26.0,0.0,0,0,1,0,1,6.1,0,2.8,晴時々曇,曇一時晴
2019/7/27,28.2,24.9,11.0,0,0,1,0,1,0.0,0,3.1,曇時々雨,薄曇後時々晴
2019/7/28,33.2,25.1,0,1,0,1,0,1,10.0,0,2.0,晴,晴後一時曇
2019/7/29,35.2,26.8,0,1,0,1,0,1,11.7,0,2.0,晴,晴
2019/7/30,34.8,27.5,0,1,0,1,0,1,10.0,0,2.3,晴,晴後曇
2019/7/31,35.4,28.4,0,1,0,1,0,1,11.6,0,2.3,晴,晴
2019/8/1,35.9,28.1,0,1,0,1,0,1,10.9,0,1.9,晴,晴
2019/8/2,37.5,28.6,0,1,0,1,0,1,9.4,0,2.1,晴,晴一時曇
2019/8/3,36.3,28.3,0,1,0,1,0,1,9.2,0,2.1,晴,晴後一時曇
2019/8/4,34.7,27.8,0,1,0,1,0,1,11.7,0,2.0,晴,晴
2019/8/5,36.3,27.2,0,1,0,1,0,1,9.7,0,4.3,晴後一時曇,曇
2019/8/6,36.9,27.9,0,1,0,1,0,1,3.6,0,3.0,曇,晴
2019/8/7,36.2,27.7,0.0,0,0,1,0,1,10.7,0,2.5,晴後一時曇,晴後時々曇
2019/8/8,34.9,27.5,0,1,0,1,0,1,11.9,0,2.3,晴,晴時々曇
2019/8/9,35.5,27.4,0,1,0,1,0,1,10.3,0,2.1,薄曇時々晴,薄曇後晴
2019/8/10,37.2,27.5,0,1,0,1,0,1,11.3,0,2.2,晴後一時薄曇,晴
2019/8/11,36.7,27.4,0,1,0,1,0,1,12.0,0,2.3,晴後一時薄曇,晴後一時薄曇
2019/8/12,36.7,27.8,0,1,0,1,0,1,9.8,0,4.0,薄曇,晴一時薄曇
2019/8/13,35.5,28.8,0.0,0,0,1,0,1,8.4,0,4.9,晴一時曇,晴後一時薄曇
2019/8/14,36.3,28.5,0.0,0,0,1,0,1,5.9,0,5.7,晴時々曇一時雨,晴時々曇
2019/8/15,32.4,26.2,101.5,0,0,1,0,1,0.3,0,4.5,曇時々雨,大雨後一時曇
2019/8/16,33.7,26.3,39.5,0,0,1,0,1,7.5,0,4.1,晴時々曇,曇時々晴
2019/8/17,34.0,27.7,0.0,0,0,1,0,1,9.8,0,2.2,晴一時曇,晴
2019/8/18,35.3,27.2,0,1,0,1,0,1,10.2,0,2.0,晴,晴時々薄曇
2019/8/19,33.1,25.4,8.0,0,0,1,0,1,1.8,0,1.8,曇後時々雨、雷を伴う,曇一時雨
2019/8/20,32.9,25.0,6.0,0,0,1,0,1,4.0,0,2.2,曇一時雨,曇
2019/8/21,33.8,27.8,0.0,0,0,1,0,1,6.5,0,2.5,曇時々晴,曇後晴
2019/8/22,33.9,27.4,0.0,0,0,1,0,1,6.6,0,2.6,曇一時晴,曇後時々雨
2019/8/23,29.6,23.3,26.0,0,0,1,0,1,0.5,0,2.9,曇時々雨、雷を伴う,曇時々雨、雷を伴う
2019/8/24,29.7,23.2,2.5,0,0,1,0,1,4.3,0,2.7,曇一時晴,曇時々雨
2019/8/25,30.0,22.6,6.0,0,0,1,0,1,7.2,0,2.5,晴一時曇,晴一時雨
2019/8/26,31.4,21.7,0,1,0,1,0,1,10.5,0,1.7,晴後一時曇,晴
2019/8/27,28.5,23.3,16.0,0,0,1,0,1,0.8,0,1.7,曇時々雨,曇時々雨
2019/8/28,28.8,24.1,3.5,0,0,1,0,1,0.0,0,3.3,雨時々曇,曇
2019/8/29,32.5,26.0,7.0,0,0,1,0,1,4.0,0,2.6,曇後時々晴,雨時々曇、雷を伴う
2019/8/30,28.9,22.0,16.0,0,0,1,0,1,0.2,0,2.4,曇時々雨、雷を伴う,曇一時雨後一時晴、雷を伴う
2019/8/31,30.1,21.9,1.5,0,0,1,0,1,3.2,0,1.4,曇時々晴後時々雨,曇一時雨
2019/9/1,30.3,22.8,0.0,0,0,1,0,1,1.5,0,1.3,曇,薄曇一時晴
2019/9/2,33.2,24.0,0,1,0,1,0,1,9.3,0,2.0,曇,晴一時薄曇
2019/9/3,34.0,25.8,0.0,0,0,1,0,1,11.2,0,2.1,晴,晴一時曇
2019/9/4,33.1,23.2,14.0,0,0,1,0,1,6.6,0,1.9,曇時々晴後一時雨、雷を伴う,晴時々曇
2019/9/5,32.3,24.1,30.0,0,0,1,0,1,4.6,0,1.8,曇後時々大雨、雷を伴う,晴時々曇
2019/9/6,35.5,24.9,0,1,0,1,0,1,9.3,0,2.2,晴,快晴
2019/9/7,35.5,25.3,0.0,0,0,1,0,1,10.0,0,2.7,曇後晴,晴
2019/9/8,35.7,26.8,0,1,0,1,0,1,9.1,0,2.5,晴,晴時々曇
2019/9/9,34.4,27.5,0.0,0,0,1,0,1,11.4,0,2.6,晴後一時薄曇,晴後時々曇
2019/9/10,35.0,28.1,0,1,0,1,0,1,10.0,0,1.9,晴、雷を伴う,晴
2019/9/11,34.5,25.6,3.5,0,0,1,0,1,6.9,0,2.2,曇時々晴一時雨、雷を伴う,曇時々雨後晴
2019/9/12,30.4,24.1,0,1,0,1,0,1,9.8,0,3.8,晴後一時薄曇,曇後雨
2019/9/13,26.2,20.3,21.0,0,0,1,0,1,0.6,0,3.2,雨後曇,曇後時々晴
2019/9/14,32.0,22.7,0,1,0,1,0,1,9.4,0,2.7,晴後一時曇,晴
2019/9/15,33.5,23.5,0,1,0,1,0,1,10.6,0,3.2,晴,晴後時々曇
2019/9/16,30.8,24.8,0,1,0,1,0,1,6.4,0,3.4,晴一時曇,晴
2019/9/17,31.8,24.1,0,1,0,1,0,1,7.5,0,3.1,晴後時々曇,曇時々晴
2019/9/18,30.7,22.1,0,1,0,1,0,1,4.7,0,3.4,晴時々曇,晴後一時曇
2019/9/19,27.7,19.0,0,1,0,1,0,1,9.4,0,3.2,晴一時曇,晴
2019/9/20,27.2,16.9,5.0,0,0,1,0,1,6.2,0,2.2,晴後雨時々曇,雨後時々曇
2019/9/21,24.7,17.9,1.0,0,0,1,0,1,1.6,0,3.5,曇,曇
