"ìùåvñºÅF","â∆åví≤ç∏ â∆åvé˚éxï“ ëçê¢ë—"
"ï\î‘çÜÅF","001"
"ï\ëËÅF","[ópìrï™óﬁ] ópìrï™óﬁÅiëçêîÅj ëSçë"
"é¿é{îNåéÅF","-","-"
"ésãÊí¨ë∫éûì_ÅiîNåéì˙ÅjÅF","-"

"***","í≤ç∏ñîÇÕèWåvÇµÇƒÇ¢Ç»Ç¢Ç‡ÇÃ"
"-","äYìñêîéöÇ™Ç»Ç¢Ç‡ÇÃ"
"X","êîílÇ™îÈìΩÇ≥ÇÍÇƒÇ¢ÇÈÇ‡ÇÃ"

"","","","","","","","","","","","","/ópìrï™óﬁ ÉRÅ[Éh","001","002","003","007","009","011","015","018","019","020","021","022","023","024","267","025","026","027","028","029","273","030","031","268","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","048","049","050","051","269","052","053","054","055","056","057","058","059","060","061","062","063","064","065","066","067","068","069","070","071","072","073","074","075","076","077","078","079","080","081","082","083","084","085","086","087","088","089","090","091","092","093","094","095","096","097","098","099","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","128","132","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","186","266","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","270","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","271","244","245","246","247","248","249","250","251","252","263","264","265"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2015000000","","2015îN","","10000","8471","2.38","1.09","58.9","75.1","22.3","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","247126","61833","5002","1439","2075","1126","362","5067","2945","899","557","666","5515","4425","1090","2985","1068","1311","606","7120","4809","555","896","860","2349","2158","190","2759","311","2448","4440","8130","3629","4500","3708","875","839","1994","2754","11944","11348","596","61","18690","11207","7482","2164","5319","19558","9336","4913","1076","4232","8545","2741","1401","952","389","651","594","1721","2098","740","9832","147","3916","2071","810","109","772","1395","612","10906","2074","1162","1695","5975","33436","5411","17292","4402","197","12694","10732","7521","24980","1425","5369","3344","14841","1478","3240","2456","7667","51826","20049","2796","3626","1555","1146","10925","6712","20176","5887","225","627","1310","594","8995","2538","4889","11977","29184","13625","210150","223992","125983","12785","19591","93606","98010","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","5498","4167","289","273","9","157","166","28","197","0","343","158","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","25.0","515","999972"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2016000000","","2016îN","","10000","8400","2.35","1.08","59.0","75.7","21.8","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","242425","62248","5020","1474","2055","1126","366","4992","2897","877","549","668","5517","4442","1074","3084","1053","1412","619","7168","4837","569","892","870","2396","2200","196","2764","287","2478","4482","8516","3781","4734","3843","917","842","2084","2750","11688","11120","568","29","17804","10948","6856","2227","4629","17905","8559","4286","860","4200","8720","2851","1354","1093","405","632","589","1700","2208","740","9160","116","3550","1961","816","107","700","1291","619","10899","2082","1200","1742","5875","32469","5043","16469","4334","239","11896","10957","7667","25280","1484","5523","3299","14974","1427","3271","2421","7856","50272","20272","2791","3678","1475","1202","11126","6215","19092","5627","238","539","1183","519","8503","2483","4693","11969","29074","14025","207091","220531","123831","12921","18784","92126","96700","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","5135","3921","281","217","19","161","145","43","158","0","313","158","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","25.7","512","999990"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2017000000","","2017îN","","10000","8395","2.33","1.06","59.3","76.5","21.0","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","243456","62038","4990","1495","2024","1103","368","4822","2741","871","546","663","5595","4517","1078","3084","1038","1423","623","7069","4738","562","886","883","2348","2135","212","2791","284","2508","4508","8633","3809","4825","3842","905","821","2115","2728","11574","11015","559","54","17900","10454","7446","2123","5323","18225","8708","4189","1111","4218","8762","2882","1478","968","436","624","564","1710","2232","750","9129","167","3598","1896","821","117","721","1236","574","10973","2115","1177","1836","5845","32890","5076","16714","4204","224","12286","11100","7459","24853","1525","5495","3222","14611","1384","2953","2342","7933","51226","20302","2763","3750","1510","1083","11196","6095","19305","5564","254","560","1191","663","8574","2498","5524","12796","28811","14331","207255","220765","124166","12801","18979","92386","96599","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","4574","3438","240","264","9","141","118","21","135","0","314","133","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","25.5","510","999962"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2018000000","","2018îN","","10000","8319","2.33","1.08","59.3","75.8","21.6","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","246399","62819","5081","1547","2069","1118","347","4669","2623","847","527","673","5633","4573","1061","3081","1017","1439","625","7185","4815","575","901","894","2402","2176","226","2828","288","2540","4658","8873","3871","5002","3996","957","850","2189","2667","11724","11160","564","21","18796","11046","7750","2325","5426","18677","9151","4216","1179","4131","8818","2926","1482","1064","380","523","667","1723","2267","713","8990","122","3639","1807","805","96","711","1239","572","11238","2078","1217","1806","6137","35346","5219","18858","4997","297","13565","11268","7912","24716","1470","5557","3039","14650","1419","2793","2312","8125","49086","20182","2700","3725","1364","1146","11246","5993","18348","4933","218","502","1274","486","7916","3019","4564","12303","28744","14389","210126","224907","126161","13794","18808","93558","98746","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","25.5","511","1000037"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2019000000","","2019îN","","10000","8182","2.30","1.07","59.3","76.4","21.2","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","249704","63482","5076","1440","2160","1130","346","4618","2596","820","531","671","5504","4422","1081","3088","1031","1456","602","6822","4495","576","885","865","2407","2176","230","2813","300","2513","4919","9121","4020","5101","4155","972","865","2319","2752","12164","11601","564","43","18356","10853","7503","2216","5287","18485","9100","4235","1092","4058","9402","3270","1706","1092","472","539","626","1814","2418","734","9074","124","3684","1843","811","102","702","1256","552","11820","2230","1090","2007","6493","36005","5732","18974","4808","286","13879","11300","7631","25772","1695","5683","3012","15382","1555","3123","2357","8347","49678","20793","2821","4015","1544","1158","11254","6208","18036","4774","199","439","1115","496","7788","3225","4642","12059","29935","14408","214110","227841","127559","14315","19292","93952","100283","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","25.4","514","999946"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2020000000","","2020îN","","10000","8167","2.27","1.06","59.3","76.4","21.2","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","233568","63145","5297","1483","2101","1324","389","4850","2718","857","551","724","6046","4875","1172","3291","1062","1561","667","7352","4930","590","913","919","2512","2264","248","3062","323","2739","5040","9458","4163","5295","4267","981","887","2399","3061","8865","8387","478","44","18614","11312","7302","2286","5016","18306","8974","4136","1015","4181","10014","3298","1703","1130","466","522","733","1926","2772","762","7370","82","2936","1469","718","117","575","1013","461","11710","2241","1122","2394","5952","32360","2940","18097","5028","238","12832","11323","6708","21208","2086","5672","2933","10516","786","798","1796","7135","44133","20223","2599","3941","1334","1264","11085","5304","14472","3533","146","321","602","381","6233","3257","4135","10373","22853","14530","199558","214640","128077","14704","17402","95971","86562","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","27.0","516","1000063"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2021000000","","2021îN","","10000","8088","2.25","1.06","59.4","74.4","22.2","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","235120","62531","5072","1366","2082","1257","367","4681","2643","802","542","695","5893","4749","1143","3199","986","1543","670","6987","4673","553","873","888","2523","2272","251","2990","316","2675","5198","9910","4344","5566","4280","953","902","2426","3100","8653","8108","545","44","19667","12013","7654","2524","5130","17939","8606","4066","976","4291","9720","3175","1700","1112","363","559","723","1876","2686","700","7255","120","2837","1460","774","88","556","993","428","11896","2202","1104","2221","6369","32322","3201","18008","4286","247","13475","11113","7690","21907","2148","5835","2922","11002","906","531","1921","7644","44192","20582","2745","3916","1308","1311","11303","4579","14303","3528","160","313","651","385","5892","3374","4729","12063","23739","14430","200546","216547","127281","14332","17559","95389","89266","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","26.6","514","999955"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2022000000","","2022îN","","10000","7999","2.22","1.05","59.5","75.0","22.2","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","244231","63597","5003","1221","2142","1264","377","4515","2460","795","566","694","5810","4691","1119","3120","977","1483","660","6869","4609","540","855","864","2469","2231","239","2975","336","2639","5410","10223","4531","5692","4371","925","913","2533","3023","9781","9271","510","28","20330","12413","7916","2583","5333","20398","10559","4547","1202","4091","9724","3273","1678","1178","417","600","610","1845","2675","721","7640","89","3079","1559","693","81","601","1060","478","12061","2188","1078","2247","6547","33419","4134","18708","4401","259","14048","10577","7306","23517","1884","5770","2765","13098","1437","1225","2065","8371","46239","21512","2815","3899","1443","1322","12032","4256","15685","4339","217","332","879","405","6504","3010","4787","11501","26471","13873","208211","225675","131060","14545","17849","98666","94616","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","26.0","525","999954"
"01","","ã‡äz","11","","ëçê¢ë—","00000","","ëSçë","2023000000","","2023îN","","10000","7909","2.20","1.05","59.5","75.9","21.3","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","247322","67078","5173","1241","2224","1330","378","4601","2498","825","578","701","5957","4817","1140","3397","1043","1520","834","6971","4638","544","908","881","2578","2314","264","3041","334","2707","5687","10575","4672","5903","4563","970","936","2657","2952","11559","11113","446","23","20141","12324","7817","2661","5156","19867","10222","4527","1070","4048","9815","3322","1753","1170","400","569","562","1876","2765","721","7505","55","2909","1539","735","80","612","1116","460","11956","2229","1122","2112","6493","34927","4961","19834","4875","262","14696","10133","6588","24996","1844","6005","2776","14372","1793","1836","2082","8660","44448","21094","3118","4072","1380","1259","11266","3725","15829","4641","189","317","949","527","6227","2979","3801","9996","28414","13410","212278","230590","133401","15063","18111","100227","97189","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","27.1","517","999964"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2007000000","","2007îN","","5229","4503","2.83","1.49","45.4","60.6","35.3","896793","480074","472727","453793","406020","369794","335580","***","2920","67520","40352","39837","7421","***","2059","767","***","825","468","24","16851","839","15544","13403","2141","468","7347","3641","3706","350345","310675","4716","1712","3004","195","5654","757","***","4886","22974","21","467","66374","896793","367779","289821","63541","5378","1811","2130","1137","299","4912","2990","846","497","578","5119","4003","1115","2689","1135","986","567","6189","3976","492","888","833","1850","1742","108","2457","231","2226","4479","7917","3667","4250","3889","941","798","2151","3005","15483","14350","1133","174","22171","17282","4889","1713","3176","18233","7507","5139","1326","4261","8395","2659","1448","723","489","682","669","1862","1889","634","13444","342","5565","2667","1039","206","1052","1643","930","9949","1338","745","2013","5853","42358","7701","22264","5532","264","16469","12392","14213","31444","3988","6266","4163","17027","1451","3424","3531","8621","66073","19646","2600","3726","2108","1441","9772","15984","21888","4885","327","734","1130","589","9308","4915","8555","22040","36614","14766","***","251059","133370","16114","25428","91828","117688","77958","34719","14245","14621","5853","43084","25718","14197","1310","1859","155","466933","373828","26382","2822","23561","1287","27700","2651","***","6167","18460","9587","870","62081","7767","1348","246","6173","7767","4948","245","1115","9","231","353","41","316","0","531","222","402116","112294","85911","84819","63153","21666","1110","20556","1092","22046","1894","***","1281","-4514","9566","403","-4293","72.1","27.9","21.4","21.1","21.9","637","522930"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2008000000","","2008îN","","5315","4527","2.82","1.50","45.5","61.3","35.6","905555","486805","478348","458251","408819","370628","339990","***","2700","66130","41327","41002","8106","***","2072","741","***","793","537","88","17937","658","16815","14515","2300","463","8458","4464","3993","353521","312767","3694","1990","1704","138","4662","660","***","4589","25996","624","390","65229","905555","375371","291498","64548","5548","1827","2167","1226","328","4788","2865","833","519","572","5360","4204","1156","2730","1109","1019","602","6239","4009","494","893","843","1823","1729","94","2593","273","2320","4620","7739","3666","4073","3754","898","820","2036","3054","16128","15046","1082","170","22510","17728","4782","1629","3153","19239","8101","5430","1476","4231","8718","2892","1489","938","465","668","613","1884","1972","689","13068","275","5493","2537","1057","132","1019","1648","908","9896","1345","799","1932","5820","43531","7526","23544","6004","317","17222","12461","13956","31018","3780","6355","4164","16719","1511","3469","3279","8460","65015","20748","2734","3933","1963","1357","10762","15236","21115","4784","380","652","1127","649","8758","4765","7916","21912","36082","15198","***","254822","135945","16685","25045","94215","118877","83873","38439","14336","17458","6645","45289","27500","14691","1307","1790","145","467871","374560","25583","3308","22275","1718","29450","2994","***","6137","20116","6554","759","62314","7432","1110","248","6074","7432","4972","247","807","20","235","312","30","287","0","566","204","402932","111434","85261","83682","61793","21889","1318","20571","1580","24788","2334","***","1548","-5880","5930","369","-2915","72.3","27.7","21.2","20.8","22.1","641","531485"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2009000000","","2009îN","","5169","4486","2.79","1.49","45.2","59.7","36.7","872021","464649","455461","436807","388508","350510","328606","***","2742","57161","41565","41244","6733","***","1828","777","***","682","370","8","16818","423","15901","13199","2702","493","9189","4032","5156","344637","307295","3364","1676","1688","67","2240","969","***","4356","25925","0","421","62734","872021","364375","283685","62868","5571","1769","2195","1287","320","4516","2710","764","498","544","5225","4075","1150","2680","1061","1043","576","6007","3905","474","840","789","1726","1629","97","2588","265","2323","4714","7671","3582","4089","3807","904","853","2049","2894","15325","14151","1174","146","21797","17272","4525","1401","3124","18124","7846","5172","960","4146","8732","2751","1521","740","490","723","679","1931","1992","655","12607","274","5324","2416","949","133","1021","1665","824","9970","1533","673","2059","5704","42567","6896","23013","6489","271","16253","12658","14351","31288","4277","6320","3871","16819","1346","3068","3239","9166","61382","20169","2565","3781","1947","1296","10580","13884","20255","4587","391","619","1168","527","8113","4850","7074","22076","36066","15490","***","249764","132513","17427","24579","90507","117252","80690","36244","12810","17330","6104","44328","27148","14599","1251","1330","118","448064","357399","23334","3079","20254","925","29213","2870","***","6087","21065","6419","752","59582","6929","1088","179","5661","6929","4495","178","817","38","234","273","38","313","1","548","172","383960","100275","70932","70074","50105","19970","1404","18566","858","26973","1901","***","1731","-4860","6419","331","-3153","73.9","26.1","18.5","18.3","22.2","628","516900"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2010000000","","2010îN","","5040","4431","2.79","1.49","45.5","60.2","36.1","883618","471727","464801","442643","391932","350658","330823","***","2732","58377","43134","42427","7577","***","1764","779","***","606","378","9","20385","814","19092","13909","5183","480","6926","3281","3646","351861","307089","4242","2142","2101","167","3535","1200","***","5808","29236","232","352","60030","883618","365280","283401","63031","5454","1706","2172","1269","307","4370","2597","746","492","535","5132","4003","1128","2723","1071","1083","568","6141","4081","469","813","778","1701","1594","107","2575","241","2334","4636","7913","3701","4212","3945","910","856","2178","3029","15331","14162","1169","83","22479","17170","5309","1770","3539","18400","8052","5006","1096","4246","8725","3021","1614","973","434","528","571","1880","2053","672","12343","262","5063","2442","980","111","997","1643","845","9655","1729","804","1935","5188","42916","6747","23426","6462","272","16692","12744","13707","31575","4959","6133","3809","16675","1416","3229","3411","8620","60569","20172","2585","4016","1912","1405","10254","13471","19100","4469","262","610","1078","565","7293","4824","7826","21813","36160","15794","239341","249988","134256","18495","23932","91829","115732","81879","35956","12969","16984","6004","45863","27593","15308","1380","1582","60","461953","368009","23640","3398","20242","1256","30286","2523","***","6191","23033","6211","804","56385","6193","832","173","5187","6193","4163","172","603","8","178","232","47","261","0","494","207","389848","106447","81406","80317","60919","19398","1256","18142","1089","26752","1324","***","383","-6203","5979","452","-3645","72.7","27.3","20.9","20.6","22.2","620","504033"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2011000000","","2011îN","","4975","4244","2.79","1.49","45.6","58.5","37.8","860424","462221","455509","431702","384731","344148","326329","***","2872","55530","40026","39608","6945","***","2089","739","***","993","357","25","21693","474","20677","13410","7267","542","6711","3234","3477","339951","298382","2990","2070","920","182","4028","958","***","3816","29132","75","388","58252","860424","357358","275999","61807","5334","1611","2165","1252","305","4092","2398","717","461","517","5126","3986","1140","2640","978","1082","581","5925","3927","451","776","770","1657","1545","112","2579","243","2336","4612","7930","3728","4202","3953","882","829","2242","2740","15099","13940","1159","119","23824","18301","5523","2065","3457","18445","7869","4978","1306","4294","8790","2798","1461","874","463","622","645","1946","2099","679","11760","232","4694","2355","984","105","964","1665","762","9354","1723","780","2013","4838","41024","6942","21089","4286","283","16520","12993","13774","29117","3288","5977","3750","16103","1414","2803","3294","8591","58104","19865","2642","4003","1753","1344","10123","12336","18508","4209","271","547","1052","529","7436","4464","7395","21618","33839","16094","233058","244368","128761","14653","23319","90789","115607","81358","35017","13610","15555","5852","46241","27505","15580","1450","1705","101","448928","358681","21357","2796","18562","1086","28188","2541","***","5787","23697","6821","769","54139","6428","1058","177","5193","6428","4132","175","865","29","256","220","33","228","0","474","189","380863","104863","79571","78666","60299","18368","726","17642","905","24160","1583","***","1971","-5435","6747","381","-4113","72.5","27.5","20.9","20.7","22.4","611","497478"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2012000000","","2012îN","","4854","4222","2.80","1.51","46.2","61.0","35.3","868991","467774","460585","434955","383656","347585","325354","***","2547","55755","44422","43862","6877","***","2052","593","***","1038","421","41","23537","501","22429","16414","6015","606","7189","3225","3964","341794","299030","4425","2490","1935","426","2775","780","***","4779","29157","3","420","59423","868991","360753","276830","62494","5418","1739","2148","1223","309","4084","2390","697","465","532","5046","3901","1146","2715","973","1198","544","5914","3959","447","770","738","1696","1567","130","2586","244","2342","4640","8147","3783","4364","4037","886","846","2305","2841","15121","13953","1168","250","22136","17063","5073","1708","3365","19059","8343","5124","1336","4255","8725","2702","1350","923","429","692","643","1969","2100","618","11928","240","4744","2343","984","107","1021","1713","775","10036","1753","808","2121","5354","43906","6720","24074","6506","278","17290","13112","13347","28033","2123","5983","3586","16342","1304","2864","3417","8756","57167","20296","2624","3967","1795","1527","10382","11791","18368","4178","293","553","1047","538","7204","4554","6712","20881","32525","16239","234272","246568","131494","15480","23714","92299","115074","83923","35770","13424","16660","5686","48070","28294","16600","1671","1505","83","452539","362616","22152","3002","19150","985","27374","2831","***","6018","24454","5468","641","55700","6048","1001","189","4858","6048","3955","189","790","21","180","241","44","249","1","427","140","383851","107021","81873","81314","63586","17727","513","17215","559","24599","2051","***","1239","-4703","5465","220","-3723","72.1","27.9","21.3","21.2","22.6","611","485362"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2013000000","","2013îN","","4821","4187","2.76","1.51","46.2","63.2","33.3","879113","468570","461361","437619","385806","349093","325615","***","2954","57237","44772","44327","7041","***","2040","801","***","834","404","7","21695","599","20520","14722","5798","577","7210","3137","4073","349288","302852","4173","2673","1500","560","2598","532","***","5600","32247","389","336","61255","879113","368246","280642","63089","5330","1704","2138","1182","306","4022","2370","685","437","530","5271","4109","1162","2721","963","1212","545","5958","4028","445","768","717","1689","1560","129","2571","255","2317","4675","8008","3741","4267","4097","895","872","2330","2758","15850","14762","1088","139","22312","16954","5358","1934","3424","19508","8844","4989","1324","4350","8591","2680","1293","919","468","587","634","1880","2163","649","11883","117","4925","2437","950","90","983","1671","708","9835","1731","785","2022","5297","45699","7261","25240","7373","284","17583","13198","13916","28409","1949","5976","3431","17053","1504","3338","3259","8952","57399","20880","2580","4043","1941","1337","10979","11523","18001","4258","368","571","1042","645","6804","4313","6994","21583","33265","16377","237159","251007","133034","16532","23817","92685","117973","87604","37415","14463","17385","5567","50102","29349","17472","1793","1487","87","455130","362506","21206","3375","17831","1113","31051","2397","***","5870","25347","5001","641","55737","5463","768","143","4552","5463","3735","143","604","8","154","181","29","233","1","389","130","380966","100324","77239","76686","59654","17032","702","16331","552","28453","1864","***","269","-6900","4612","305","-5518","73.7","26.3","20.3","20.1","22.5","623","482100"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2014000000","","2014îN","","4780","4138","2.74","1.49","46.4","62.0","34.6","881598","468367","461082","437437","387606","349629","326901","***","2942","57763","43938","43354","5893","***","2146","956","***","838","352","2","21496","1089","19524","13580","5944","883","7286","3031","4255","351081","299535","3752","2858","894","135","3882","600","***","6180","36468","179","351","62150","881598","367248","280809","63874","5161","1430","2215","1179","337","4033","2353","693","449","538","5586","4377","1210","2775","936","1238","600","5992","4079","438","768","707","1687","1535","153","2591","249","2342","4789","8366","3932","4433","4042","874","902","2266","2924","15832","14720","1112","95","23085","17242","5843","1902","3941","19651","9134","5058","1224","4235","8878","2834","1507","853","474","576","661","1878","2280","649","12198","244","5026","2384","940","104","984","1786","730","9745","1658","704","2188","5195","46126","6865","26040","8125","314","17601","13221","13156","28044","2343","5868","3241","16592","1546","2951","3200","8896","56051","21654","2658","3987","1943","1461","11606","10475","17151","4254","324","606","1087","550","6409","3920","6770","20605","32553","16431","236419","253234","135635","17772","24246","93616","117599","86439","36918","14280","16822","5815","49456","28971","17164","1877","1444","65","458577","364886","20210","2797","17414","1279","28477","2464","***","6559","27096","6951","654","55774","5314","733","151","4429","5314","3601","151","573","9","149","170","32","206","0","393","182","381929","101120","82954","81810","65351","16459","-61","16520","1144","24596","1864","***","379","-9372","6772","303","-6376","73.5","26.5","21.7","21.4","22.7","617","477956"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2015000000","","2015îN","","4768","4119","2.71","1.52","46.9","62.4","33.8","878630","469200","461623","436587","384487","344300","325108","***","2963","56416","46406","45842","5693","***","2048","660","***","1000","388","2","22986","967","21448","15524","5924","571","7577","3474","4104","350872","296794","4335","2556","1779","276","7228","795","***","4136","36968","0","340","58559","878630","364574","276567","66217","5178","1302","2286","1237","353","4123","2402","711","454","556","5838","4625","1213","2890","952","1337","600","6285","4324","462","784","715","1783","1618","165","2691","286","2405","5001","8818","4169","4649","4269","926","1006","2338","2926","16287","15215","1072","128","21757","16559","5198","1514","3683","19150","8946","4994","905","4305","8913","2785","1430","883","473","631","681","1981","2281","554","12192","173","5102","2431","887","86","945","1838","731","9472","1679","799","1877","5117","43080","7461","21796","5701","249","15846","13824","13083","27486","1838","5936","3121","16591","1769","2830","3306","8686","55218","21120","2790","4065","2074","1361","10830","9705","16748","4462","240","571","1110","593","6015","3756","7645","20512","32353","17016","235450","249447","131174","14197","23666","93312","118272","88007","36902","14100","17019","5783","51035","29996","17599","1988","1453","70","460708","365795","20793","3281","17512","1083","28440","2725","***","4999","27570","8681","622","53348","5211","774","146","4291","5211","3473","146","551","4","151","192","27","333","0","342","140","381193","104626","86266","85459","69001","16458","725","15733","807","21212","1930","***","863","-9398","8681","282","-5211","72.6","27.4","22.6","22.4","23.9","622","476744"
"01","","ã‡äz","12","","ãŒòJé“ê¢ë—","00000","","ëSçë","2016000000","","2016îN","","4735","4021","2.68","1.52","46.6","61.9","33.7","858588","461577","454752","428955","376826","334855","317496","***","3225","56104","45986","45107","6143","***","2937","1814","***","765","358","3","22857","688","21466","15728","5739","702","6825","2769","4056","335692","287611","3113","2225","887","233","1891","573","***","4599","37337","8","327","61319","858588","353290","268289","65523","5159","1351","2240","1211","358","3912","2270","668","435","538","5746","4574","1172","2959","943","1416","601","6198","4258","462","774","704","1740","1578","162","2671","266","2404","4942","9048","4245","4803","4350","953","1000","2397","2787","15950","14897","1052","61","21783","16847","4935","1831","3105","17233","7988","4303","671","4271","8916","2705","1259","922","524","645","666","1956","2388","556","11175","125","4641","2210","885","94","848","1644","727","9505","1693","810","1960","5043","41672","6858","20767","5725","333","14709","14047","13749","27497","1898","6237","3047","16315","1725","2744","3286","8559","51237","20451","2765","4060","1723","1476","10427","9002","15415","4177","248","513","905","446","5473","3652","6369","20587","31783","17337","228939","243793","127178","14374","22530","90274","116615","85001","35579","13622","16255","5703","49287","29361","16805","1919","1203","135","450428","361028","19700","3214","16487","1144","27381","2299","***","5827","27737","4757","555","54870","4778","656","139","3984","4778","3233","139","453","24","164","169","45","241","0","304","146","376576","108287","90915","90004","73416","16588","988","15599","911","25490","1726","***","1228","-9601","4749","228","-6449","71.2","28.8","24.1","23.9","24.4","615","473448"
